physical_id,block_name,primary_street,addr_low,addr_high,name_source,notes,boro,cd,streets,review_reason
89441,108000-109099 66 AVENUE,66 AVENUE,108000,109099,auto,NA,4,406,66 AVENUE,large_address_span
89443,0-105066 131 STREET,131 STREET,0,105066,auto,NA,4,410,131 STREET,large_address_span
89444,0-103099 131 STREET,131 STREET,0,103099,auto,NA,4,410,131 STREET,large_address_span
89445,101000-102099 131 STREET,131 STREET,101000,102099,auto,NA,4,409,131 STREET,large_address_span
89446,97000-100099 131 STREET,131 STREET,97000,100099,auto,NA,4,409,131 STREET,large_address_span
89447,95000-96099 131 STREET,131 STREET,95000,96099,auto,NA,4,409,131 STREET,large_address_span
89449,0-0 131 STREET,131 STREET,0,0,auto,NA,4,409,131 STREET,single_address
89450,105065-106099 131 STREET,131 STREET,105065,106099,auto,NA,4,410,131 STREET,large_address_span
89455,29023-31099 JORDAN STREET,JORDAN STREET,29023,31099,auto,NA,4,411,JORDAN STREET,large_address_span
89463,0-117026 SMITH STREET,SMITH STREET,0,117026,auto,NA,4,412,SMITH STREET,large_address_span
89473,0-2200 BAY 52 STREET,BAY 52 STREET,0,2200,auto,NA,3,313,BAY 52 STREET,large_address_span
89474,0-0 BAY 52 STREET,BAY 52 STREET,0,0,auto,NA,3,313,BAY 52 STREET,single_address
89475,0-2218 BAY 52 STREET,BAY 52 STREET,0,2218,auto,NA,3,313,BAY 52 STREET,large_address_span
89476,0-0 BAY 52 STREET,BAY 52 STREET,0,0,auto,NA,3,313,BAY 52 STREET,single_address
89479,0-0 CANAL AVENUE,CANAL AVENUE,0,0,auto,NA,3,313,CANAL AVENUE,single_address
89483,0-2152 CEDAR AVENUE,CEDAR AVENUE,0,2152,auto,NA,2,205,CEDAR AVENUE,large_address_span
89490,0-0 EAST 153 STREET,EAST 153 STREET,0,0,auto,NA,2,204,EAST 153 STREET,single_address
89491,0-0 EAST 153 STREET,EAST 153 STREET,0,0,auto,NA,2,204,EAST 153 STREET,single_address
89504,0-0 SMITHS LANE,SMITHS LANE,0,0,auto,NA,3,318,SMITHS LANE,single_address
89506,46-7899 PAERDEGAT 1 STREET,PAERDEGAT 1 STREET,46,7899,auto,NA,3,318,PAERDEGAT 1 STREET,large_address_span
89507,2-7799 PAERDEGAT 1 STREET,PAERDEGAT 1 STREET,2,7799,auto,NA,3,318,PAERDEGAT 1 STREET,large_address_span
89512,0-574 HERZL STREET,HERZL STREET,0,574,auto,NA,3,316,HERZL STREET,large_address_span
89517,0-0 PACIFIC STREET,PACIFIC STREET,0,0,auto,NA,3,316,PACIFIC STREET,single_address
89522,0-529 EAST 185 STREET,EAST 185 STREET,0,529,auto,NA,2,206,EAST 185 STREET,large_address_span
89525,0-39099 59 STREET,59 STREET,0,39099,auto,NA,4,402,59 STREET,large_address_span
89527,0-5115 TIBBETT AVENUE,TIBBETT AVENUE,0,5115,auto,NA,2,208,TIBBETT AVENUE,large_address_span
89528,0-4599 TIBBETT AVENUE,TIBBETT AVENUE,0,4599,auto,NA,2,208,TIBBETT AVENUE,large_address_span
89533,0-0 90 AVENUE,90 AVENUE,0,0,auto,NA,4,412,90 AVENUE,single_address
89535,0-149099 90 AVENUE,90 AVENUE,0,149099,auto,NA,4,412,90 AVENUE,large_address_span
89536,28000-29099 208 STREET,208 STREET,28000,29099,auto,NA,4,411,208 STREET,large_address_span
89537,30000-31099 208 STREET,208 STREET,30000,31099,auto,NA,4,411,208 STREET,large_address_span
89543,36000-37099 208 STREET,208 STREET,36000,37099,auto,NA,4,411,208 STREET,large_address_span
89547,0-4599 POST ROAD,POST ROAD,0,4599,auto,NA,2,208,POST ROAD,large_address_span
89548,0-4411 POST ROAD,POST ROAD,0,4411,auto,NA,2,208,POST ROAD,large_address_span
89549,0-4385 POST ROAD,POST ROAD,0,4385,auto,NA,2,208,POST ROAD,large_address_span
89550,0-4630 POST ROAD,POST ROAD,0,4630,auto,NA,2,208,POST ROAD,large_address_span
